Tag, Descricao, Modulo, Fase, Grandeza, IdSensor, Frequencia_Amostragem, Timestamp
M1IOCA1, I OPENING COIL A, 1, A, I, 1, 33333.0, 1747944058.3585627

tempos, dados
2.74951171875, 0.030326
2.779541015625, 0.002592
2.8095703125, 0.016459
2.839599609375, -0.066743
2.869384765625, 0.071928
2.8994140625, 0.071928
2.929443359375, 0.016459
2.95947265625, 0.044194
2.989501953125, -0.045943
3.01953125, 0.051127
3.049560546875, -0.004341
3.07958984375, 0.078861
3.109375, -0.045943
3.139404296875, -0.004341
3.16943359375, 0.016459
3.199462890625, -0.004341
3.2294921875, 0.064994
3.259521484375, -0.136079
3.28955078125, 0.023393
3.319580078125, 0.064994
3.349609375, 0.113529
3.37939453125, -0.025142
3.409423828125, -0.039009
3.439453125, 0.162064
3.469482421875, 0.002592
3.49951171875, 0.058061
3.529541015625, -0.087544
3.5595703125, -0.08061
3.589599609375, -0.08061
3.619384765625, 0.099662
3.6494140625, -0.025142
3.679443359375, -0.045943
3.70947265625, -0.004341
3.739501953125, 0.071928
3.76953125, 0.03726
3.799560546875, 0.078861
3.82958984375, 0.113529
3.859375, 0.03726
3.889404296875, 0.078861
3.91943359375, 0.162064
3.949462890625, 0.002592
3.9794921875, 0.078861
4.009521484375, 0.148197
4.03955078125, -0.05981
4.069580078125, 0.009526
4.099609375, 0.203665
4.12939453125, -0.039009
4.159423828125, 0.078861
4.189453125, -0.004341
4.219482421875, -0.045943
4.24951171875, -0.27475
4.279541015625, 0.016459
4.3095703125, 0.085795
4.339599609375, -0.094478
4.369384765625, -0.219282
4.3994140625, -0.08061
4.429443359375, 0.030326
4.45947265625, 0.078861
4.489501953125, 0.085795
4.51953125, -0.052876
4.549560546875, 0.016459
4.57958984375, 0.064994
4.609619140625, -0.052876
4.639404296875, -0.018208
4.66943359375, 0.009526
4.699462890625, -0.184614
4.7294921875, -0.018208
4.759521484375, 0.078861
4.78955078125, -0.011275
4.819580078125, 0.071928
4.849609375, -0.066743
4.87939453125, -0.073677
4.909423828125, -0.073677
4.939453125, -0.039009
4.969482421875, 0.051127
4.99951171875, -0.045943
5.029541015625, -0.087544
5.0595703125, 0.009526
5.089599609375, -0.212348
5.119384765625, 0.051127
5.1494140625, 0.099662
5.179443359375, -0.073677
5.20947265625, 0.058061
5.239501953125, -0.08061
5.26953125, -0.122212
5.299560546875, -0.018208
5.32958984375, 0.071928
5.359619140625, -0.17768
5.389404296875, -0.087544
5.41943359375, 0.009526
5.449462890625, -0.073677
5.4794921875, -0.05981
5.509521484375, 0.064994
5.53955078125, 0.016459
5.569580078125, 0.002592
5.599609375, -0.122212
5.62939453125, 0.023393
5.659423828125, -0.066743
5.689453125, 0.106596
5.719482421875, -0.025142
5.74951171875, 0.03726
5.779541015625, -0.018208
5.8095703125, -0.032076
5.839599609375, -0.018208
5.86962890625, 0.044194
5.8994140625, -0.045943
5.929443359375, 0.051127
5.95947265625, 0.085795
5.989501953125, -0.170747
6.01953125, 0.051127
6.049560546875, -0.045943
6.07958984375, 0.051127
6.109619140625, 0.009526
6.139404296875, 0.099662
6.16943359375, 0.078861
6.199462890625, 0.009526
6.2294921875, 0.044194
6.259521484375, -0.011275
6.28955078125, 0.15513
6.319580078125, 0.03726
6.349609375, 0.002592
6.379638671875, 0.064994
6.409423828125, 0.092728
6.439453125, -0.05981
6.469482421875, 0.058061
6.49951171875, 0.078861
6.529541015625, 0.030326
6.5595703125, 0.016459
6.589599609375, -0.115278
6.61962890625, -0.011275
6.6494140625, -0.052876
6.679443359375, -0.039009
6.70947265625, -0.011275
6.739501953125, -0.191547
6.76953125, 0.064994
6.799560546875, -0.045943
6.82958984375, 0.044194
6.859619140625, 0.071928
6.889404296875, 0.016459
6.91943359375, 0.058061
6.949462890625, -0.018208
6.9794921875, 0.106596
7.009521484375, 0.182865
7.03955078125, 0.009526
7.069580078125, -0.05981
7.099609375, 0.051127
7.129638671875, 0.023393
7.159423828125, -0.045943
7.189453125, -0.094478
7.219482421875, 0.078861
7.24951171875, 0.064994
7.279541015625, -0.018208
7.3095703125, 0.016459
7.339599609375, -0.025142
7.36962890625, -0.066743
7.3994140625, 0.044194
7.429443359375, -0.039009
7.45947265625, -0.004341
7.489501953125, -0.122212
7.51953125, -0.039009
7.549560546875, -0.066743
7.57958984375, -0.045943
7.609619140625, 0.106596
7.6396484375, 0.03726
7.66943359375, -0.149946
7.699462890625, 0.03726
7.7294921875, -0.018208
7.759521484375, 0.009526
7.78955078125, 0.03726
7.819580078125, -0.052876
7.849609375, 0.106596
7.879638671875, -0.004341
7.909423828125, 0.03726
7.939453125, -0.101411
7.969482421875, 0.009526
7.99951171875, -0.052876
8.029541015625, 0.044194
8.0595703125, -0.05981
8.089599609375, -0.039009
8.11962890625, -0.032076
8.1494140625, 0.023393
8.179443359375, 0.085795
8.20947265625, -0.025142
8.239501953125, 0.002592
8.26953125, -0.073677
8.299560546875, -0.052876
8.32958984375, 0.113529
8.359619140625, -0.094478
8.3896484375, 0.085795
8.41943359375, -0.032076
8.449462890625, -0.052876
